#退款流水记录
#起始日期：[2026年07月11日 00:00:00]    终止日期：[2026年07月11日 23:59:59]
#---------------------------------------------退款流水明细-------------------------------------------
交易时间,app_id,退款ID,支付ID,商户退款订单号,商户支付订单号,交易类型,退款金额,手续费金额,货币种类,退款状态,退款完成时间,退款模式,退款描述
20260711135009,APP_DEMO_00001,ADAPAYID_DEMO_00062,ADAPAYID_DEMO_00061,ORDNO_DEMO_00172,ORDNO_DEMO_00172,微信小程序支付,10.60,0.00,cny,S,20260711135014,延时分账撤销,Others,
20260711161555,APP_DEMO_00002,ADAPAYID_DEMO_00072,ADAPAYID_DEMO_00071,ORDNO_DEMO_00007,ORDNO_DEMO_00006,微信小程序支付,0.03,0.00,cny,S,20260711161559,延时分账撤销,,
#---------------------------------------------退款流水明细-------------------------------------------
#合计：2笔，共10.63元
#导出时间：[2026年07月12日 02:06:34]
